Gender,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%,Date
Female,700-81-1757,A,Yangon,Normal,Electronic accessories,26.31,5,6.5775,2022-07-23 21:16:55
Female,354-39-5160,A,Yangon,Member,Home and lifestyle,34.42,6,10.326,2022-06-17 12:21:17
Female,731-81-9469,C,Naypyitaw,Member,Sports and travel,89.8,10,44.9,2021-09-07 05:45:27
Female,338-65-2210,C,Naypyitaw,Member,Health and beauty,68.6,10,34.3,2021-11-08 00:17:28
Female,488-25-4221,C,Naypyitaw,Member,Food and beverages,30.41,1,1.5205,2025-12-23 06:53:13
Female,239-10-7476,A,Yangon,Normal,Home and lifestyle,77.95,6,23.385,2022-03-25 20:55:40
Female,458-41-1477,C,Naypyitaw,Normal,Health and beauty,46.26,6,13.878,2023-11-10 08:47:16
Female,685-64-1609,A,Yangon,Member,Fashion accessories,30.14,10,15.07,2023-06-25 05:41:09
Female,608-96-3517,B,Mandalay,Member,Fashion accessories,91.54,4,18.308,2023-11-12 05:35:12
Female,214-17-6927,C,Naypyitaw,Normal,Food and beverages,16.48,6,4.944,2024-01-24 07:40:07
Female,400-89-4171,C,Naypyitaw,Normal,Sports and travel,80.97,8,32.388,2021-07-07 10:56:44
Female,894-41-5205,C,Naypyitaw,Normal,Food and beverages,43.18,8,17.272,2024-08-04 13:20:52
Female,139-52-2867,C,Naypyitaw,Normal,Fashion accessories,22.51,7,7.8785,2025-10-07 19:07:05
Female,586-25-0848,A,Yangon,Normal,Sports and travel,12.34,7,4.319,2025-01-15 03:38:49
Female,305-14-0245,B,Mandalay,Member,Home and lifestyle,94.49,8,37.796,2025-07-12 04:49:58
Female,593-65-1552,C,Naypyitaw,Normal,Home and lifestyle,69.81,4,13.962,2021-02-17 06:56:49
Female,284-34-9626,B,Mandalay,Normal,Home and lifestyle,77.04,3,11.556,2023-11-15 19:36:46
Female,437-58-8131,B,Mandalay,Normal,Fashion accessories,73.52,2,7.352,2024-01-17 13:40:53
Female,286-43-6208,C,Naypyitaw,Normal,Food and beverages,87.8,9,39.51,2021-12-19 14:51:55
Female,556-86-3144,C,Naypyitaw,Member,Fashion accessories,74.29,1,3.7145,2024-02-09 17:21:50
Female,856-22-8149,A,Yangon,Normal,Home and lifestyle,25.29,1,1.2645,2021-09-24 17:39:08
Female,420-11-4919,C,Naypyitaw,Member,Food and beverages,71.39,5,178.475,2025-07-01 15:16:15
Female,606-80-4905,C,Naypyitaw,Member,Sports and travel,19.15,6,5.745,2022-10-21 12:48:42
Female,542-41-0513,B,Mandalay,Member,Electronic accessories,57.49,4,11.498,2024-10-06 15:05:00
Female,749-24-1565,A,Yangon,Normal,Health and beauty,23.03,9,10.3635,2023-10-29 15:51:41
Female,672-51-8681,C,Naypyitaw,Member,Electronic accessories,66.65,9,299.925,2025-01-28 12:04:15
Female,263-87-5680,C,Naypyitaw,Member,Home and lifestyle,28.53,10,14.265,2023-09-23 02:23:27
Female,573-58-9734,B,Mandalay,Normal,Fashion accessories,30.37,3,4.5555,2022-03-01 09:07:20
Female,817-69-8206,B,Mandalay,Normal,Electronic accessories,99.73,9,448.785,2024-11-24 10:43:05
Female,677-11-0152,C,Naypyitaw,Normal,Food and beverages,93.26,9,41.967,2021-02-09 22:02:07
Female,891-58-8335,B,Mandalay,Member,Sports and travel,29.61,7,10.3635,2022-04-23 01:38:22
Female,560-30-5617,B,Mandalay,Normal,Sports and travel,24.77,5,6.1925,2022-06-05 11:46:08
Female,319-74-2561,A,Yangon,Member,Electronic accessories,94.64,3,14.196,2023-06-30 19:13:59
Female,790-29-1172,B,Mandalay,Normal,Food and beverages,57.34,3,8.601,2025-08-25 20:40:35
Female,279-62-1445,C,Naypyitaw,Member,Fashion accessories,12.54,1,627.0,2022-02-26 19:38:18
Female,746-68-6593,C,Naypyitaw,Member,Sports and travel,87.16,2,8.716,2021-12-05 21:26:31
Female,466-61-5506,B,Mandalay,Member,Electronic accessories,90.7,6,27.21,2025-03-29 05:08:51
Female,721-86-6247,A,Yangon,Normal,Home and lifestyle,63.42,8,25.368,2023-07-05 21:16:06
Female,289-65-5721,B,Mandalay,Normal,Fashion accessories,81.37,2,8.137,2022-10-03 18:54:35
Female,545-46-3100,B,Mandalay,Member,Electronic accessories,10.59,3,1.5885,2024-06-15 01:16:10
Female,418-02-5978,B,Mandalay,Normal,Health and beauty,84.09,9,378.405,2022-12-18 23:51:54
Female,645-78-8093,A,Yangon,Normal,Sports and travel,93.14,2,9.314,2022-05-26 14:21:20
Female,755-12-3214,C,Naypyitaw,Member,Fashion accessories,44.22,5,11.055,2025-05-03 17:43:20
Female,346-84-3103,B,Mandalay,Member,Electronic accessories,13.22,5,3.305,2025-09-15 08:49:01
Female,866-05-7563,B,Mandalay,Member,Electronic accessories,81.4,3,12.21,2024-05-12 17:45:32
Female,883-17-4236,C,Naypyitaw,Normal,Sports and travel,14.39,2,1.439,2025-09-14 07:09:28
Female,850-41-9669,A,Yangon,Normal,Electronic accessories,75.06,9,33.777,2024-03-28 06:13:19
Female,821-07-3596,C,Naypyitaw,Normal,Fashion accessories,16.45,4,3.29,2023-12-20 18:42:37
Female,655-85-5130,B,Mandalay,Member,Fashion accessories,38.3,4,7.66,2023-02-24 15:46:03
Female,447-15-7839,A,Yangon,Member,Sports and travel,22.24,10,11.12,2025-04-02 12:30:44
Female,253-12-6086,A,Yangon,Member,Sports and travel,98.4,7,34.44,2025-03-18 00:30:15
Female,571-94-0759,B,Mandalay,Member,Food and beverages,74.6,10,37.3,2021-09-16 14:52:03
Female,731-14-2199,A,Yangon,Member,Home and lifestyle,35.54,10,17.77,2024-08-18 13:57:15
Female,783-09-1637,B,Mandalay,Normal,Sports and travel,67.43,5,168.575,2021-10-21 05:26:48
Female,687-15-1097,C,Naypyitaw,Member,Health and beauty,21.12,2,2.112,2022-06-16 07:37:57
Female,126-54-1082,A,Yangon,Member,Home and lifestyle,21.54,9,9.693,2022-01-30 02:32:44
Female,633-91-1052,A,Yangon,Normal,Home and lifestyle,12.03,2,1.203,2022-03-21 01:06:14
Female,477-24-6490,B,Mandalay,Normal,Health and beauty,99.71,6,29.913,2024-03-29 04:06:56
Female,526-86-8552,C,Naypyitaw,Member,Home and lifestyle,21.82,10,10.91,2021-03-08 16:51:22
Female,376-56-3573,C,Naypyitaw,Normal,Fashion accessories,95.42,4,19.084,2021-03-26 18:30:46
Female,136-08-6195,A,Yangon,Normal,Home and lifestyle,69.96,8,27.984,2025-06-13 20:21:06
Female,490-29-1201,A,Yangon,Normal,Sports and travel,15.34,1,767.0,2024-11-17 15:39:56
Female,565-17-3836,A,Yangon,Member,Health and beauty,47.67,4,9.534,2021-10-12 23:26:52
Female,226-71-3580,C,Naypyitaw,Normal,Sports and travel,23.75,9,10.6875,2023-04-21 23:22:57
Female,283-79-9594,B,Mandalay,Normal,Food and beverages,48.51,7,169.785,2025-07-15 03:08:30
Female,430-60-3493,A,Yangon,Member,Home and lifestyle,94.88,7,33.208,2023-07-19 13:19:51
Female,278-97-7759,A,Yangon,Member,Electronic accessories,62.48,1,3.124,2024-09-17 01:13:48
Female,316-68-6352,A,Yangon,Member,Food and beverages,36.36,2,3.636,2025-07-23 16:58:06
Female,211-05-0490,C,Naypyitaw,Member,Electronic accessories,51.92,5,12.98,2023-07-23 17:59:47
Female,779-06-0012,C,Naypyitaw,Member,Home and lifestyle,88.61,1,4.4305,2025-04-28 01:23:34
Female,439-54-7422,A,Yangon,Normal,Electronic accessories,51.19,4,10.238,2022-07-28 00:48:30
Female,396-90-2219,B,Mandalay,Normal,Electronic accessories,14.96,8,5.984,2024-11-17 05:39:36
Female,286-01-5402,A,Yangon,Normal,Sports and travel,40.23,7,140.805,2023-11-23 09:43:44
Female,803-17-8013,A,Yangon,Member,Home and lifestyle,88.79,8,35.516,2022-06-24 21:35:01
Female,512-98-1403,A,Yangon,Member,Electronic accessories,26.48,3,3.972,2021-08-12 03:11:53
Female,848-42-2560,A,Yangon,Normal,Fashion accessories,81.91,2,8.191,2025-01-18 08:10:26
Female,870-76-1733,A,Yangon,Member,Food and beverages,14.23,5,3.5575,2022-01-18 14:46:21
Female,423-64-4619,A,Yangon,Member,Health and beauty,15.55,9,6.9975,2024-03-08 07:43:45
Female,227-07-4446,C,Naypyitaw,Member,Electronic accessories,78.13,10,39.065,2022-12-12 20:54:20
Female,428-83-5800,C,Naypyitaw,Member,Food and beverages,21.08,3,3.162,2024-11-10 20:19:55
Female,704-20-4138,C,Naypyitaw,Member,Health and beauty,29.67,7,10.3845,2021-05-15 12:57:54
Female,649-11-3678,C,Naypyitaw,Normal,Food and beverages,22.93,9,10.3185,2022-07-28 07:11:31
Female,622-20-1945,C,Naypyitaw,Normal,Health and beauty,39.42,1,1.971,2021-03-08 05:48:02
Female,563-91-7120,A,Yangon,Normal,Fashion accessories,61.77,5,154.425,2021-04-12 08:43:26
Female,527-09-6272,A,Yangon,Member,Electronic accessories,28.45,5,7.1125,2023-09-22 14:22:20
Female,692-27-8933,B,Mandalay,Normal,Sports and travel,57.95,6,17.385,2022-03-01 12:58:59
Female,633-09-3463,C,Naypyitaw,Normal,Electronic accessories,47.65,3,7.1475,2025-08-01 22:11:39
Female,374-17-3652,B,Mandalay,Member,Food and beverages,42.82,9,19.269,2024-05-04 22:15:42
Female,433-75-6987,B,Mandalay,Member,Health and beauty,55.97,7,195.895,2025-10-29 03:26:58
Female,873-95-4984,B,Mandalay,Member,Health and beauty,76.9,7,26.915,2025-03-11 02:32:50
Female,416-13-5917,C,Naypyitaw,Normal,Food and beverages,97.03,5,242.575,2025-08-07 04:07:10
Female,135-84-8019,A,Yangon,Normal,Fashion accessories,77.93,9,350.685,2021-12-22 14:40:29
Female,725-96-3778,C,Naypyitaw,Member,Home and lifestyle,89.25,8,35.7,2025-11-05 04:04:22
Female,400-45-1220,B,Mandalay,Normal,Health and beauty,13.5,10,6.75,2022-04-29 20:06:53
Female,860-79-0874,C,Naypyitaw,Member,Fashion accessories,99.3,10,49.65,2022-08-21 21:12:45
Female,115-99-4379,B,Mandalay,Member,Fashion accessories,54.73,7,191.555,2022-06-26 11:44:38
Female,320-49-6392,C,Naypyitaw,Normal,Electronic accessories,30.24,1,1.512,2024-05-16 05:16:06
Female,889-04-9723,B,Mandalay,Member,Food and beverages,89.14,4,17.828,2022-07-29 20:33:58
Female,632-90-0281,C,Naypyitaw,Normal,Fashion accessories,37.55,10,18.775,2023-02-16 12:02:15
Female,554-42-2417,C,Naypyitaw,Normal,Sports and travel,95.44,10,47.72,2025-09-26 20:35:58
Female,605-72-4132,C,Naypyitaw,Normal,Food and beverages,94.47,8,37.788,2025-11-15 03:53:36
Female,272-27-9238,C,Naypyitaw,Normal,Food and beverages,41.24,4,8.248,2023-04-18 08:32:33
Female,834-25-9262,C,Naypyitaw,Normal,Fashion accessories,81.68,4,16.336,2023-03-16 16:44:50
Female,122-61-9553,C,Naypyitaw,Normal,Electronic accessories,51.32,9,23.094,2022-04-13 05:07:36
Female,613-59-9758,C,Naypyitaw,Normal,Sports and travel,14.36,10,7.18,2021-12-22 15:25:15
Female,201-86-2184,B,Mandalay,Member,Electronic accessories,26.26,7,9.191,2023-05-25 18:29:13
Female,261-12-8671,B,Mandalay,Normal,Fashion accessories,60.96,2,6.096,2023-12-18 20:32:40
Female,730-70-9830,C,Naypyitaw,Normal,Home and lifestyle,70.11,6,21.033,2021-11-01 22:27:21
Female,422-29-8786,A,Yangon,Normal,Home and lifestyle,67.09,5,167.725,2023-07-29 17:40:09
Female,667-23-5919,A,Yangon,Member,Fashion accessories,96.7,5,24.175,2023-08-15 10:02:38
Female,843-01-4703,B,Mandalay,Member,Home and lifestyle,35.38,9,15.921,2025-03-09 23:59:53
Female,182-69-8360,B,Mandalay,Normal,Electronic accessories,23.65,4,4.73,2023-01-28 08:37:28
Female,462-78-5240,C,Naypyitaw,Normal,Electronic accessories,26.61,2,2.661,2021-05-27 21:52:10
Female,868-52-7573,B,Mandalay,Normal,Food and beverages,99.69,5,249.225,2024-06-10 18:56:14
Female,153-58-4872,C,Naypyitaw,Member,Food and beverages,74.89,4,14.978,2022-10-04 00:26:41
Female,662-72-2873,A,Yangon,Normal,Food and beverages,40.94,5,10.235,2025-04-01 08:41:58
Female,725-56-0833,A,Yangon,Normal,Health and beauty,32.32,10,16.16,2021-08-09 12:53:32
Female,394-41-0748,C,Naypyitaw,Member,Fashion accessories,54.07,9,243.315,2022-02-09 16:49:17
Female,541-89-9860,C,Naypyitaw,Member,Fashion accessories,80.48,3,12.072,2025-10-03 14:30:05
Female,173-82-9529,B,Mandalay,Normal,Fashion accessories,37.95,10,18.975,2025-12-08 01:16:34
Female,308-47-4913,A,Yangon,Member,Sports and travel,52.26,10,26.13,2021-05-21 14:01:00
Female,885-17-6250,A,Yangon,Normal,Health and beauty,79.74,1,3.987,2023-10-01 18:04:31
Female,726-27-2396,A,Yangon,Normal,Health and beauty,77.5,5,19.375,2023-12-11 04:25:18
Female,316-01-3952,A,Yangon,Normal,Food and beverages,54.27,5,135.675,2021-01-04 11:52:34
Female,793-10-3222,B,Mandalay,Member,Health and beauty,41.06,6,12.318,2025-06-19 05:15:26
Female,110-05-6330,C,Naypyitaw,Normal,Food and beverages,39.43,6,11.829,2024-04-04 18:45:14
Female,831-64-0259,B,Mandalay,Normal,Fashion accessories,39.75,5,9.9375,2023-09-21 14:28:31
Female,587-03-7455,C,Naypyitaw,Member,Fashion accessories,97.79,7,342.265,2023-10-09 22:30:48
Female,725-32-9708,B,Mandalay,Member,Fashion accessories,68.71,4,13.742,2023-12-17 01:16:31
Female,256-08-8343,A,Yangon,Normal,Home and lifestyle,56.53,4,11.306,2024-08-27 23:25:34
Female,372-26-1506,C,Naypyitaw,Normal,Fashion accessories,23.82,5,5.955,2022-01-25 05:22:53
Female,244-08-0162,B,Mandalay,Normal,Health and beauty,34.21,10,17.105,2021-08-23 13:10:28
Female,750-57-9686,C,Naypyitaw,Normal,Home and lifestyle,45.38,4,9.076,2022-12-28 12:42:48
Female,186-09-3669,C,Naypyitaw,Member,Health and beauty,81.51,1,4.0755,2025-03-27 22:01:44
Female,848-07-1692,B,Mandalay,Normal,Health and beauty,57.22,2,5.722,2021-07-16 21:11:24
Female,745-71-3520,A,Yangon,Member,Electronic accessories,25.22,7,8.827,2022-11-06 09:50:11
Female,266-76-6436,C,Naypyitaw,Member,Food and beverages,38.6,3,5.79,2024-03-20 15:58:23
Female,740-22-2500,C,Naypyitaw,Normal,Electronic accessories,84.05,3,12.6075,2022-02-03 02:36:35
Female,271-88-8734,C,Naypyitaw,Member,Fashion accessories,97.21,10,48.605,2024-11-21 06:56:19
Female,650-98-6268,B,Mandalay,Member,Food and beverages,20.87,3,3.1305,2025-02-04 09:31:50
Female,325-77-6186,A,Yangon,Member,Home and lifestyle,90.65,10,45.325,2023-01-14 22:01:55
Female,459-50-7686,A,Yangon,Normal,Electronic accessories,23.46,6,7.038,2022-10-04 18:15:30
Female,837-55-7229,B,Mandalay,Normal,Fashion accessories,47.44,1,2.372,2025-08-20 21:32:09
Female,810-60-6344,C,Naypyitaw,Normal,Electronic accessories,40.86,8,16.344,2021-02-10 13:26:47
Female,394-30-3170,B,Mandalay,Member,Sports and travel,88.43,8,35.372,2025-08-04 14:12:58
Female,138-17-5109,A,Yangon,Member,Home and lifestyle,89.21,9,401.445,2022-05-05 07:27:07
Female,301-11-9629,A,Yangon,Normal,Sports and travel,19.1,7,6.685,2025-08-10 13:03:20
Female,390-80-5128,B,Mandalay,Member,Health and beauty,19.15,1,9.575,2024-04-13 12:15:01
Female,296-11-7041,B,Mandalay,Member,Health and beauty,27.07,1,1.3535,2023-01-24 15:31:38
Female,449-27-2918,B,Mandalay,Member,Sports and travel,39.12,1,1.956,2022-03-13 17:40:05
Female,891-01-7034,B,Mandalay,Normal,Electronic accessories,74.71,6,22.413,2022-04-24 03:58:53
Female,727-17-0390,A,Yangon,Normal,Food and beverages,63.61,5,159.025,2023-09-25 09:41:14
Female,767-54-1907,B,Mandalay,Member,Fashion accessories,29.56,5,7.39,2025-04-08 17:21:48
Female,710-46-4433,B,Mandalay,Member,Food and beverages,77.4,9,34.83,2023-11-01 06:55:36
Female,325-90-8763,C,Naypyitaw,Member,Electronic accessories,46.57,10,23.285,2021-03-05 08:23:38
Female,234-03-4040,B,Mandalay,Member,Food and beverages,73.05,10,36.525,2024-06-19 03:50:42
Female,326-71-2155,C,Naypyitaw,Normal,Sports and travel,73.95,4,14.79,2025-10-31 21:21:53
Female,320-32-8842,C,Naypyitaw,Member,Food and beverages,22.62,1,1.131,2021-10-20 22:46:07
Female,878-30-2331,C,Naypyitaw,Member,Sports and travel,54.55,10,27.275,2025-01-18 19:18:02
Female,440-59-5691,C,Naypyitaw,Member,Health and beauty,37.15,7,130.025,2024-03-15 07:09:12
Female,233-34-0817,C,Naypyitaw,Member,Electronic accessories,98.84,1,4.942,2024-12-12 22:51:08
Female,767-05-1286,C,Naypyitaw,Member,Home and lifestyle,83.77,6,25.131,2025-07-16 22:20:41
Female,340-21-9136,A,Yangon,Member,Sports and travel,40.05,4,8.01,2024-03-04 06:35:37
Female,676-39-6028,A,Yangon,Member,Electronic accessories,64.44,5,16.11,2025-05-28 00:39:15
Female,485-30-8700,A,Yangon,Normal,Sports and travel,33.26,5,8.315,2024-12-22 15:29:58
Female,246-11-3901,C,Naypyitaw,Normal,Electronic accessories,32.8,10,16.4,2023-07-13 01:58:23
Female,493-65-6248,C,Naypyitaw,Member,Sports and travel,36.98,10,18.49,2024-06-22 05:21:29
Female,438-01-4015,B,Mandalay,Member,Sports and travel,49.49,4,9.898,2025-11-08 01:45:37
Female,709-58-4068,B,Mandalay,Normal,Fashion accessories,41.09,10,20.545,2022-04-04 13:56:38
Female,627-95-3243,B,Mandalay,Member,Home and lifestyle,77.68,9,34.956,2024-02-27 20:46:26
Female,686-41-0932,B,Mandalay,Normal,Fashion accessories,34.7,2,3.47,2025-04-08 06:35:46
Female,510-09-5628,A,Yangon,Member,Fashion accessories,19.66,10,9.83,2024-03-02 17:13:03
Female,608-04-3797,B,Mandalay,Member,Health and beauty,25.32,8,10.128,2024-01-22 07:03:44
Female,148-82-2527,C,Naypyitaw,Member,Home and lifestyle,12.12,10,6.06,2021-09-20 04:09:18
Female,556-97-7101,C,Naypyitaw,Normal,Electronic accessories,63.22,2,6.322,2025-12-14 05:00:12
Female,862-59-8517,C,Naypyitaw,Normal,Food and beverages,90.24,6,27.072,2025-10-04 10:50:05
Female,401-18-8016,B,Mandalay,Member,Sports and travel,98.13,1,4.9065,2021-10-18 08:18:06
Female,420-18-8989,A,Yangon,Member,Sports and travel,51.52,8,20.608,2023-09-15 08:38:34
Female,573-98-8548,C,Naypyitaw,Member,Fashion accessories,31.9,1,1.595,2021-06-08 09:14:06
Female,282-35-2475,B,Mandalay,Normal,Sports and travel,93.31,2,9.331,2022-09-07 11:32:09
Female,387-49-4215,B,Mandalay,Member,Sports and travel,48.5,3,7.275,2023-11-03 05:08:22
Female,862-17-9201,B,Mandalay,Normal,Food and beverages,84.05,6,25.215,2023-02-02 14:09:00
Female,602-80-9671,C,Naypyitaw,Member,Home and lifestyle,15.95,6,4.785,2023-10-17 21:31:20
Female,347-72-6115,B,Mandalay,Member,Sports and travel,90.74,7,31.759,2023-05-26 03:33:55
Female,209-61-0206,A,Yangon,Normal,Home and lifestyle,42.91,5,10.7275,2022-03-20 08:00:43
Female,595-27-4851,A,Yangon,Normal,Fashion accessories,54.28,7,18.998,2022-08-23 01:46:09
Female,413-20-6708,C,Naypyitaw,Member,Fashion accessories,51.47,1,2.5735,2024-12-27 15:10:16
Female,734-91-1155,B,Mandalay,Normal,Electronic accessories,45.71,3,6.8565,2023-12-22 15:50:17
Female,451-28-5717,C,Naypyitaw,Member,Home and lifestyle,83.17,6,24.951,2024-10-28 13:53:17
Female,609-81-8548,A,Yangon,Member,Home and lifestyle,37.44,6,11.232,2024-10-25 11:17:11
Female,719-89-8991,A,Yangon,Member,Sports and travel,91.41,5,228.525,2024-04-11 07:20:42
Female,827-44-5872,B,Mandalay,Member,Food and beverages,54.36,10,27.18,2021-01-17 12:51:33
Female,236-27-1144,C,Naypyitaw,Normal,Food and beverages,16.31,9,7.3395,2023-10-25 20:39:35
Female,892-05-6689,A,Yangon,Normal,Home and lifestyle,28.32,5,7.08,2024-05-26 02:36:43
Female,339-12-4827,B,Mandalay,Member,Fashion accessories,73.96,1,3.698,2025-07-30 15:50:44
