date,trade_count,total_trade_value,total_quantity
2020-08-02,46,829406.04,4584
2020-08-03,48,1127627.77,5182
2020-08-04,37,934752.6699999999,4478
2020-08-05,47,856423.3099999999,3958
2020-08-06,42,707521.23,3672
2020-08-07,42,996100.15,4597
2020-08-08,53,1072130.77,4781
2020-08-09,53,1173534.67,5720
2020-08-10,45,1010718.89,4266
2020-08-11,40,808718.25,4152
2020-08-12,40,856232.01,4237
2020-08-13,59,1592655.26,6895
2020-08-14,47,1146026.95,5092
2020-08-15,42,783698.82,3619
2020-08-16,38,859064.5,3895
2020-08-17,56,1169742.92,5306
2020-08-18,40,713305.59,3248
2020-08-19,52,949578.22,4822
2020-08-20,60,1074281.31,5206
2020-08-21,50,865385.05,4327
2020-08-22,43,1016922.41,4661
2020-08-23,45,1021389.32,4796
2020-08-24,42,1064683.1,4794
2020-08-25,38,871358.39,3656
2020-08-26,47,1006341.08,5333
2020-08-27,46,1055708.41,4672
2020-08-28,43,854792.62,3782
2020-08-29,60,1483614.46,6187
2020-08-30,43,952680.22,4637
2020-08-31,36,808568.37,3764
2020-09-01,49,1263308.3699999999,5438
2020-09-02,52,984167.0,4477
2020-09-03,35,786443.39,3782
2020-09-04,38,910700.64,4022
2020-09-05,46,919603.8099999999,4553
2020-09-06,44,1007033.17,4828
2020-09-07,40,923579.46,4413
2020-09-08,52,1123639.01,5431
2020-09-09,46,1005592.25,4830
2020-09-10,46,830449.75,4560
2020-09-11,43,831122.53,3985
2020-09-12,36,789225.82,3716
2020-09-13,47,1083804.07,4848
2020-09-14,56,1274391.7,6404
2020-09-15,56,995920.58,4369
2020-09-16,45,907494.85,4077
2020-09-17,43,953396.71,4855
2020-09-18,42,861686.15,4005
2020-09-19,41,949225.26,4370
2020-09-20,47,924070.59,4452
2020-09-21,46,961473.0,4441
2020-09-22,54,1051810.72,4572
2020-09-23,44,1015464.0700000001,4283
2020-09-24,41,711791.01,3825
2020-09-25,40,865979.8099999999,4207
2020-09-26,40,869657.31,3800
2020-09-27,50,1129759.29,5653
2020-09-28,40,928230.77,4218
2020-09-29,60,1329570.83,6493
2020-09-30,36,798046.52,3792
2020-10-01,39,612342.01,3207
2020-10-02,38,971718.9,4263
2020-10-03,46,959907.9400000001,4605
2020-10-04,40,804909.8,4292
2020-10-05,59,1189749.91,5857
2020-10-06,48,896997.28,4648
2020-10-07,54,921498.72,4685
2020-10-08,44,914510.53,4225
2020-10-09,44,1116203.38,4413
2020-10-10,44,963348.49,4333
2020-10-11,58,1216471.91,5453
2020-10-12,48,1127222.79,5492
2020-10-13,46,1056514.81,4525
2020-10-14,39,802027.51,4199
2020-10-15,56,1258633.66,6072
2020-10-16,44,1006158.92,4529
2020-10-17,47,1006517.61,4997
2020-10-18,49,1256066.33,5244
2020-10-19,46,798115.88,3992
2020-10-20,43,900940.42,4467
2020-10-21,56,1039834.04,5324
2020-10-22,45,940277.79,4493
2020-10-23,36,825224.2,3837
2020-10-24,50,935129.62,4834
2020-10-25,55,1112644.75,5409
2020-10-26,54,1027575.88,5068
2020-10-27,33,636480.43,3001
2020-10-28,38,643079.97,3596
2020-10-29,50,1063157.71,4925
2020-10-30,57,1374172.29,5937
2020-10-31,51,1026412.95,4744
2020-11-01,51,1164804.56,5271
2020-11-02,48,835747.4,4322
2020-11-03,40,911665.05,3945
2020-11-04,43,1004145.48,4583
2020-11-05,44,1127277.01,4802
2020-11-06,46,893787.37,4022
2020-11-07,40,999785.3,4832
2020-11-08,59,1428072.54,7079
2020-11-09,41,849307.9199999999,3917
2020-11-10,48,851318.4400000001,4815
2020-11-11,50,1168153.54,5427
2020-11-12,43,815898.37,3510
2020-11-13,46,913176.38,4301
2020-11-14,33,621755.51,2854
2020-11-15,46,1207023.1,5130
2020-11-16,50,1083355.22,5101
2020-11-17,48,852882.99,4574
2020-11-18,38,740153.91,3619
2020-11-19,46,902164.66,4750
2020-11-20,44,1046436.11,4356
2020-11-21,39,895461.59,4164
2020-11-22,43,916911.94,4459
2020-11-23,46,1044916.87,4711
2020-11-24,53,1111011.1400000001,5107
2020-11-25,44,919237.26,4251
2020-11-26,52,1165005.17,5409
2020-11-27,42,861071.4,4165
2020-11-28,40,954482.91,4191
2020-11-29,45,890430.04,4578
2020-11-30,50,1132462.54,5340
2020-12-01,43,1025964.97,5008
2020-12-02,38,780415.48,3959
2020-12-03,43,1048811.09,4978
2020-12-04,40,945181.74,4211
2020-12-05,47,953517.33,4333
2020-12-06,44,823470.54,4180
2020-12-07,52,1394770.82,6068
2020-12-08,44,866829.03,4225
2020-12-09,45,1068570.73,4796
2020-12-10,46,893313.55,4602
2020-12-11,51,976396.3,4737
2020-12-12,39,774183.68,3336
2020-12-13,45,1016854.42,4306
2020-12-14,41,696112.77,3689
2020-12-15,46,1087499.98,5016
2020-12-16,33,584059.37,3161
2020-12-17,47,991239.91,4742
2020-12-18,55,1107777.23,5251
2020-12-19,52,1202929.14,5336
2020-12-20,51,822045.8099999999,4202
2020-12-21,38,918223.74,4196
2020-12-22,40,764277.26,3125
2020-12-23,32,686357.23,3577
2020-12-24,36,917305.18,4115
2020-12-25,64,1625302.78,7214
2020-12-26,29,559791.01,2826
2020-12-27,45,788372.52,4110
2020-12-28,42,826011.95,4426
2020-12-29,27,637327.89,2996
2020-12-30,47,1142033.18,5519
2020-12-31,48,1153155.81,5385
2021-01-01,61,1408211.11,6117
2021-01-02,45,971797.35,4710
2021-01-03,41,897576.88,4242
2021-01-04,41,884725.65,4478
2021-01-05,39,701045.58,3841
2021-01-06,40,887537.65,4397
2021-01-07,52,1136351.98,5629
2021-01-08,40,764528.78,3691
2021-01-09,42,817201.9299999999,4054
2021-01-10,31,649548.53,3098
2021-01-11,49,1061759.44,4785
2021-01-12,43,827005.57,3959
2021-01-13,46,1072601.06,4873
2021-01-14,51,1022781.79,4701
2021-01-15,41,883953.03,4119
2021-01-16,39,769709.35,3739
2021-01-17,47,874714.25,4692
2021-01-18,52,1099804.63,5069
2021-01-19,53,1155509.54,5197
2021-01-20,42,884189.75,4377
2021-01-21,51,1015204.65,4979
2021-01-22,65,1317646.24,6645
2021-01-23,47,1019626.51,4662
2021-01-24,40,747034.2,3694
2021-01-25,48,860862.23,4614
2021-01-26,47,1010018.0,4826
2021-01-27,61,1327144.64,6584
2021-01-28,45,1008630.99,4938
2021-01-29,40,732702.47,3672
2021-01-30,35,746377.25,3240
2021-01-31,55,1283936.31,5453
2021-02-01,56,1009183.28,5555
2021-02-02,45,989381.3200000001,4529
2021-02-03,38,861126.42,3470
2021-02-04,42,732439.01,3719
2021-02-05,41,844651.18,3950
2021-02-06,36,730935.8099999999,3333
2021-02-07,49,1015121.48,4629
2021-02-08,49,1292324.32,5620
2021-02-09,44,1186204.09,4892
2021-02-10,50,1190913.6,5222
2021-02-11,60,1132989.1,5355
2021-02-12,45,1011186.09,4440
2021-02-13,43,952830.9400000001,4915
2021-02-14,46,960066.7,4372
2021-02-15,55,1311363.83,5823
2021-02-16,48,963338.47,4332
2021-02-17,45,1117549.08,4695
2021-02-18,50,1157493.78,5714
2021-02-19,42,1015287.9,4334
2021-02-20,48,918100.9299999999,4366
2021-02-21,52,1061246.58,4794
2021-02-22,39,771840.6799999999,3683
2021-02-23,52,1012629.74,4883
2021-02-24,51,832226.6,4023
2021-02-25,45,873258.87,4742
2021-02-26,34,689649.66,3155
2021-02-27,48,1125378.71,5018
2021-02-28,63,1451196.23,6625
2021-03-01,42,1033298.15,4600
2021-03-02,44,932719.41,4031
2021-03-03,33,840278.63,3786
2021-03-04,39,806934.63,4170
2021-03-05,59,1172715.61,5847
2021-03-06,38,881193.48,3816
2021-03-07,45,916689.71,4438
2021-03-08,51,1097801.03,4620
2021-03-09,48,870924.5499999999,4511
2021-03-10,46,932273.3,4457
2021-03-11,54,1232296.04,6021
2021-03-12,47,1258871.89,5632
2021-03-13,61,1268011.47,6309
2021-03-14,44,868888.05,4099
2021-03-15,39,831435.54,3931
2021-03-16,46,1154299.69,5465
2021-03-17,57,1085978.46,5747
2021-03-18,43,893650.57,4287
2021-03-19,50,1042180.34,4572
2021-03-20,48,908984.9,4133
2021-03-21,38,685402.0700000001,3675
2021-03-22,41,937820.9,3988
2021-03-23,43,892038.52,4406
2021-03-24,42,832463.77,3809
2021-03-25,45,917339.53,4544
2021-03-26,42,1037381.18,4523
2021-03-27,48,1267251.28,5585
2021-03-28,50,973124.0700000001,4843
2021-03-29,34,580326.39,3225
2021-03-30,39,870441.82,4047
2021-03-31,43,1005951.75,4574
2021-04-01,48,1111772.05,4749
2021-04-02,41,751323.79,3763
2021-04-03,42,972559.72,4321
2021-04-04,58,1144176.1300000001,5267
2021-04-05,47,826968.59,4071
2021-04-06,57,1216933.22,5716
2021-04-07,39,861314.1699999999,3643
2021-04-08,56,1219207.14,6094
2021-04-09,38,791767.2,4034
2021-04-10,44,925026.12,4368
2021-04-11,41,931169.25,3849
2021-04-12,48,925343.46,4598
2021-04-13,45,972380.26,4816
2021-04-14,42,858407.87,3987
2021-04-15,51,1301165.97,5800
2021-04-16,42,1046171.23,4264
2021-04-17,54,1094634.76,5098
2021-04-18,45,966658.22,4496
2021-04-19,51,1082130.35,5485
2021-04-20,42,714880.56,3245
2021-04-21,47,813398.83,4214
2021-04-22,53,1168417.21,5507
2021-04-23,49,1029058.32,5288
2021-04-24,33,789529.8200000001,3307
2021-04-25,39,777535.85,3692
2021-04-26,43,906239.4,4480
2021-04-27,48,960571.66,4577
2021-04-28,50,1194921.67,5444
2021-04-29,48,1113879.45,4927
2021-04-30,64,1226543.91,6037
2021-05-01,45,978120.95,4737
2021-05-02,42,916592.77,4367
2021-05-03,61,1398905.2,6291
2021-05-04,44,884540.01,4428
2021-05-05,53,1289873.8699999999,6053
2021-05-06,49,949691.39,4321
2021-05-07,47,910769.17,4896
2021-05-08,41,719383.23,3932
2021-05-09,58,1255624.77,5716
2021-05-10,46,925280.1,5038
2021-05-11,43,1043612.65,4947
2021-05-12,49,988972.88,4990
2021-05-13,52,966700.28,4904
2021-05-14,50,978363.7999999999,4894
2021-05-15,39,901783.88,3795
2021-05-16,60,1093633.21,5595
2021-05-17,45,1281822.46,5460
2021-05-18,53,952115.27,4748
2021-05-19,46,911568.86,4328
2021-05-20,58,1157783.22,5350
2021-05-21,43,1183820.68,5080
2021-05-22,40,869733.94,4285
2021-05-23,47,937786.6,4921
2021-05-24,38,709994.17,3520
2021-05-25,46,1043107.09,4626
2021-05-26,37,736497.9299999999,3553
2021-05-27,57,1233475.16,5635
2021-05-28,47,1097470.24,5033
2021-05-29,43,1056386.84,4820
2021-05-30,45,976020.76,4907
2021-05-31,38,834497.34,3597
2021-06-01,45,794805.37,3942
2021-06-02,48,1019826.22,4817
2021-06-03,61,1232787.3,6183
2021-06-04,34,777422.66,3281
2021-06-05,39,612584.85,3421
2021-06-06,44,843259.98,4292
2021-06-07,34,722699.85,3031
2021-06-08,45,964215.3,4585
2021-06-09,57,1139584.3,5700
2021-06-10,44,812400.6799999999,4132
2021-06-11,38,817844.4,4025
2021-06-12,49,1114779.63,4743
2021-06-13,47,1157020.03,5432
2021-06-14,40,933131.45,4525
2021-06-15,41,956501.68,3882
2021-06-16,46,932729.45,4432
2021-06-17,46,850421.88,4230
2021-06-18,43,848357.36,4240
2021-06-19,52,1081350.78,5029
2021-06-20,47,1153593.8800000001,5294
2021-06-21,47,1170415.15,5217
2021-06-22,41,826906.25,3875
2021-06-23,48,1273056.56,5558
2021-06-24,56,970104.62,5012
2021-06-25,35,782542.66,3623
2021-06-26,48,856751.6,4136
2021-06-27,57,1444793.95,6124
2021-06-28,46,817113.67,3866
2021-06-29,54,1349024.47,5843
2021-06-30,51,1224120.29,5615
2021-07-01,40,899722.65,3918
2021-07-02,56,1173554.67,5611
2021-07-03,46,853702.81,4388
2021-07-04,41,884651.5,4630
2021-07-05,47,1105453.82,4821
2021-07-06,47,1092813.5,5260
2021-07-07,37,765286.98,3852
2021-07-08,38,679384.44,3429
2021-07-09,43,945262.87,4485
2021-07-10,45,767417.33,4097
2021-07-11,42,1006810.76,4031
2021-07-12,39,899618.71,4362
2021-07-13,42,768467.06,3783
2021-07-14,42,981642.13,4342
2021-07-15,43,848648.64,4164
2021-07-16,48,1039149.9,5110
2021-07-17,45,1015965.65,4753
2021-07-18,50,1227384.87,5270
2021-07-19,39,1069650.64,4626
2021-07-20,37,650166.24,3087
2021-07-21,48,979501.78,4554
2021-07-22,50,925197.39,5008
2021-07-23,45,920848.61,4555
2021-07-24,54,1070092.24,4949
2021-07-25,46,1137693.66,4998
2021-07-26,49,911428.64,4365
2021-07-27,43,1086850.42,4642
2021-07-28,41,923594.67,4314
2021-07-29,37,768431.27,3749
2021-07-30,41,910997.42,4086
2021-07-31,60,1245715.63,5957
2021-08-01,40,803647.36,4308
2021-08-02,37,874436.66,3880
2021-08-03,48,966755.74,5136
2021-08-04,49,969848.36,4521
2021-08-05,51,996694.41,4972
2021-08-06,61,1453631.43,6497
2021-08-07,39,1134868.03,4842
2021-08-08,51,1256231.54,5298
2021-08-09,44,989908.0,4496
2021-08-10,42,876865.76,4192
2021-08-11,45,847112.28,4374
2021-08-12,51,1049351.9,5355
2021-08-13,62,1244218.07,5996
2021-08-14,44,973106.9,5023
2021-08-15,63,1147516.77,5839
2021-08-16,38,936421.91,4122
2021-08-17,46,1196027.47,4963
2021-08-18,56,1210098.43,5503
2021-08-19,43,923859.67,4910
2021-08-20,48,1106245.2,5343
2021-08-21,40,1039552.34,4515
2021-08-22,32,722937.2,3789
2021-08-23,42,776100.06,3626
2021-08-24,40,894679.5,3772
2021-08-25,34,647400.25,3680
2021-08-26,51,1273702.97,5737
2021-08-27,40,789249.55,4057
2021-08-28,51,1065724.07,5124
2021-08-29,44,857740.53,4059
2021-08-30,33,589777.51,3029
2021-08-31,39,812740.9500000001,3725
2021-09-01,48,994020.56,4514
2021-09-02,51,1120911.08,5614
2021-09-03,45,933019.39,4530
2021-09-04,40,855698.02,4166
2021-09-05,42,1099305.02,4841
2021-09-06,34,559647.89,2908
2021-09-07,43,971765.41,4838
2021-09-08,39,806763.97,3746
2021-09-09,46,876743.63,4110
2021-09-10,44,908695.93,4426
2021-09-11,39,703730.9500000001,3368
2021-09-12,64,1353074.94,6684
2021-09-13,49,982328.75,4935
2021-09-14,50,975767.0,4661
2021-09-15,35,554288.92,3111
2021-09-16,46,993879.62,4997
2021-09-17,40,855294.72,4031
2021-09-18,44,785444.33,4196
2021-09-19,39,858228.58,3837
2021-09-20,45,850637.8,4444
2021-09-21,38,648909.0,2937
2021-09-22,46,812374.01,4479
2021-09-23,63,1410085.77,6609
2021-09-24,50,981655.49,4761
2021-09-25,42,993031.0,4697
2021-09-26,40,944723.03,4628
2021-09-27,42,873606.76,3775
2021-09-28,39,907969.09,4370
2021-09-29,49,1224964.15,5078
2021-09-30,39,1047331.0,4102
2021-10-01,48,1125567.26,5006
2021-10-02,54,1125980.68,4785
2021-10-03,55,987790.69,5392
2021-10-04,59,1258367.89,5814
2021-10-05,36,647950.27,3225
2021-10-06,44,902451.14,4627
2021-10-07,44,862091.69,4224
2021-10-08,56,926006.22,4609
2021-10-09,66,1499095.09,6854
2021-10-10,54,1147313.69,5665
2021-10-11,42,762554.29,3844
2021-10-12,40,856757.02,4606
2021-10-13,39,805357.26,3835
2021-10-14,47,1008284.16,5053
2021-10-15,42,796579.63,4101
2021-10-16,39,787307.89,3615
2021-10-17,46,1012432.16,5067
2021-10-18,45,984026.73,4689
2021-10-19,56,1036516.0700000001,4774
2021-10-20,48,1000835.29,4821
2021-10-21,45,983723.52,4946
2021-10-22,46,1108840.68,5041
2021-10-23,42,742362.8,4050
2021-10-24,47,955127.6900000001,4350
2021-10-25,45,1019337.6,4498
2021-10-26,43,856780.92,4377
2021-10-27,52,1203336.43,5486
2021-10-28,53,1028408.72,5245
2021-10-29,54,1235088.1,5553
2021-10-30,43,1107343.24,4938
2021-10-31,48,983068.97,5031
2021-11-01,45,1080585.64,4892
2021-11-02,54,1200166.54,5573
2021-11-03,65,1292292.46,5808
2021-11-04,50,1078893.07,4940
2021-11-05,44,1002981.19,4808
2021-11-06,35,891112.97,4310
2021-11-07,50,1176171.4,5406
2021-11-08,57,1184042.06,5247
2021-11-09,41,835830.27,3793
2021-11-10,44,884114.07,3936
2021-11-11,39,856437.16,4219
2021-11-12,46,906709.6,4339
2021-11-13,54,969999.05,4935
2021-11-14,43,884036.87,3947
2021-11-15,46,992741.28,5011
2021-11-16,50,1019706.09,4813
2021-11-17,49,1007276.95,4612
2021-11-18,42,967538.26,4367
2021-11-19,35,692251.8,3585
2021-11-20,51,848524.8,4513
2021-11-21,39,785559.87,3866
2021-11-22,43,971207.41,4668
2021-11-23,57,1089562.74,5269
2021-11-24,50,1040600.22,4918
2021-11-25,42,750921.08,3638
2021-11-26,38,980828.5,3883
2021-11-27,33,864708.68,3658
2021-11-28,49,1045132.24,4702
2021-11-29,40,797677.37,4226
2021-11-30,53,947076.27,4881
2021-12-01,50,942622.01,4432
2021-12-02,37,943597.52,4047
2021-12-03,35,698477.5399999999,3434
2021-12-04,36,820914.63,3592
2021-12-05,41,583245.03,3315
2021-12-06,42,1022631.79,4068
2021-12-07,43,616289.91,3745
2021-12-08,47,974113.4500000001,4858
2021-12-09,50,785312.47,4569
2021-12-10,53,1046839.18,5009
2021-12-11,46,956510.58,4456
2021-12-12,45,955276.09,4625
2021-12-13,47,941276.29,4453
2021-12-14,43,881102.89,4329
2021-12-15,48,977113.02,4777
2021-12-16,44,846836.57,4344
2021-12-17,48,1083004.8,4673
2021-12-18,53,1204771.39,5474
2021-12-19,33,548379.78,3216
2021-12-20,37,975445.42,4347
2021-12-21,37,789047.76,3764
2021-12-22,50,1093894.97,4705
2021-12-23,48,970854.66,4966
2021-12-24,44,995466.41,4196
2021-12-25,49,970496.89,4610
2021-12-26,50,941595.77,4516
2021-12-27,50,1063929.35,4719
2021-12-28,51,1144191.62,5444
2021-12-29,38,750143.16,3672
2021-12-30,41,1012225.73,4481
2021-12-31,35,521883.75,2886
2022-01-01,53,1069450.17,4778
2022-01-02,40,763156.18,3878
2022-01-03,36,836610.52,3635
2022-01-04,41,698704.41,3719
2022-01-05,70,1412889.55,6656
2022-01-06,50,1133161.95,5436
2022-01-07,45,909735.39,4504
2022-01-08,38,581064.35,3269
2022-01-09,50,1143376.35,5098
2022-01-10,50,1070162.19,5362
2022-01-11,46,1035722.97,5058
2022-01-12,55,1049619.46,5225
2022-01-13,36,644051.26,3202
2022-01-14,49,1003971.79,4874
2022-01-15,41,892290.56,4356
2022-01-16,60,1203321.36,5967
2022-01-17,50,1155697.74,5170
2022-01-18,62,1306195.1300000001,6140
2022-01-19,48,1020357.08,4611
2022-01-20,47,928196.6,4732
2022-01-21,62,1065241.3,5613
2022-01-22,55,1109159.22,5262
2022-01-23,51,940287.09,4854
2022-01-24,46,875810.05,4416
2022-01-25,57,1267130.98,5984
2022-01-26,53,995166.39,5041
2022-01-27,45,1049876.74,4656
2022-01-28,57,1188225.82,6059
2022-01-29,31,748682.98,3451
2022-01-30,45,934878.12,4141
2022-01-31,53,908421.58,4486
2022-02-01,51,1136677.24,5217
2022-02-02,55,1080306.65,5262
2022-02-03,66,1534547.3,6552
2022-02-04,40,791862.2,3477
2022-02-05,48,1126189.58,4932
2022-02-06,58,1067463.73,5785
2022-02-07,38,864659.9500000001,3726
2022-02-08,43,785641.3099999999,3865
2022-02-09,49,1047518.85,4748
2022-02-10,44,1012109.84,5057
2022-02-11,54,1281158.92,6081
2022-02-12,63,1221449.71,6231
2022-02-13,36,927646.4199999999,4301
2022-02-14,49,899864.16,4526
2022-02-15,51,981966.23,4992
2022-02-16,45,1047865.27,4981
2022-02-17,41,808871.94,3544
2022-02-18,50,938982.4500000001,4839
2022-02-19,33,769767.9,3216
2022-02-20,48,862532.25,4302
2022-02-21,46,1038457.29,5073
2022-02-22,57,1253832.82,5766
2022-02-23,45,939575.3,4881
2022-02-24,48,1107753.08,5105
2022-02-25,38,690353.81,3618
2022-02-26,39,756077.98,3737
2022-02-27,44,892329.46,4190
2022-02-28,42,937799.72,4010
2022-03-01,39,864912.84,3904
2022-03-02,47,1195533.71,5429
