client_id,age,income_bracket,risk_tolerance,investment_experience,join_date,country,tenure_days,account_balance,last_updated,trade_count,total_trade_value,avg_trade_value,std_trade_value,total_quantity,avg_quantity,total_transaction_value,transaction_count,deposit_ratio,avg_daily_trades,value_per_trade
C10017,40,Medium,Very High,Advanced,2024-02-28,UK,567,23245,2025-09-16 18:10:22.232699,120,2853797.72,23781.65,17878.62,12406,103.38,45669.0,4,1.0,0.21164021164021163,23781.647666666668
C10018,52,Low,Very High,Intermediate,2025-07-06,Japan,73,16378,2025-09-16 18:10:22.233697,99,1854388.98,18731.2,15644.86,9334,94.28,16378.0,1,1.0,1.356164383561644,18731.201818181817
C10019,25,High,Low,Advanced,2020-03-05,Australia,2022,33039,2025-09-16 18:10:22.234693,86,1881721.88,21880.49,15008.48,8619,100.22,62567.0,7,0.57,0.04253214638971316,21880.486976744185
C10020,57,High,Low,Intermediate,2021-09-19,Canada,1459,17070,2025-09-16 18:10:22.235690,91,1638873.18,18009.6,12285.56,8584,94.33,49968.0,10,0.6,0.06237148732008225,18009.595384615382
C10021,43,High,Very High,Beginner,2024-11-05,USA,316,43909,2025-09-16 18:10:22.236688,117,2268075.72,19385.26,16011.99,10930,93.42,43909.0,1,1.0,0.370253164556962,19385.262564102566
C10022,55,Low,Low,Intermediate,2022-09-07,Germany,1106,14744,2025-09-16 18:10:22.236688,81,1634103.03,20174.11,15528.42,7907,97.62,41411.0,8,0.5,0.07323688969258589,20174.111481481483
C10023,63,Medium,Very High,Beginner,2022-01-21,Japan,1335,35541,2025-09-16 18:10:22.237685,98,1951698.36,19915.29,16658.69,9475,96.68,51854.0,9,0.33,0.07340823970037454,19915.289387755103
C10024,32,Medium,High,Intermediate,2025-02-12,Germany,217,12279,2025-09-16 18:10:22.238683,87,1795034.9,20632.59,16477.79,8410,96.67,19043.0,2,1.0,0.4009216589861751,20632.585057471264
C10025,29,Medium,Medium,Advanced,2021-05-01,USA,1600,36633,2025-09-16 18:10:22.239686,107,2379393.12,22237.32,16010.67,11224,104.9,93264.0,12,0.75,0.066875,22237.318878504673
C10026,63,Low,Low,Advanced,2020-02-20,UK,2036,28456,2025-09-16 18:10:22.240682,99,2017194.33,20375.7,16737.23,8805,88.94,75875.0,11,0.73,0.04862475442043222,20375.700303030302
C10027,34,Medium,High,Advanced,2020-04-09,USA,1987,23352,2025-09-16 18:10:22.241679,108,2144105.9,19852.83,15541.5,9852,91.22,41899.0,9,0.56,0.05435329642677403,19852.832407407408
C10028,29,Low,Very High,Advanced,2021-11-09,Germany,1408,15395,2025-09-16 18:10:22.242677,100,1930608.62,19306.09,14126.44,10115,101.15,27274.0,3,1.0,0.07102272727272728,19306.0862
C10029,40,Medium,High,Beginner,2025-06-18,Australia,91,16102,2025-09-16 18:10:22.242677,104,2295502.55,22072.14,15836.69,10890,104.71,16102.0,1,1.0,1.1428571428571428,22072.139903846153
C10030,35,Medium,Low,Advanced,2020-07-03,Canada,1902,41563,2025-09-16 18:10:22.243682,91,1953559.15,21467.68,15182.87,9403,103.33,95352.0,12,0.58,0.04784437434279706,21467.682967032964
C10031,22,Low,Very High,Advanced,2022-08-19,Japan,1125,23332,2025-09-16 18:10:22.245664,95,1720686.87,18112.49,13245.46,8677,91.34,47583.0,5,0.6,0.08444444444444445,18112.493368421055
C10032,48,Medium,Very High,Intermediate,2023-02-16,Canada,944,22746,2025-09-16 18:10:22.245664,118,2445449.45,20724.15,15575.96,11746,99.54,48752.0,8,0.38,0.125,20724.147881355933
C10033,19,Medium,High,Beginner,2021-07-10,Canada,1530,31835,2025-09-16 18:10:22.246661,116,2742409.66,23641.46,16583.99,12807,110.41,45106.0,4,0.75,0.07581699346405228,23641.462586206897
C10034,53,Medium,Very High,Advanced,2021-12-15,USA,1372,48322,2025-09-16 18:10:22.247661,86,1727251.66,20084.32,15930.78,7683,89.34,68684.0,5,0.8,0.06268221574344024,20084.321627906975
C10035,30,Medium,Medium,Advanced,2023-05-09,UK,862,9625,2025-09-16 18:10:22.248656,94,2156925.15,22946.01,17024.52,10103,107.48,13118.0,3,1.0,0.10904872389791183,22946.01223404255
C10036,56,Medium,High,Intermediate,2024-02-27,USA,568,45254,2025-09-16 18:10:22.249654,101,1772330.28,17547.82,15827.74,8813,87.26,52932.0,3,1.0,0.17781690140845072,17547.824554455445
C10037,20,High,High,Beginner,2025-04-15,Australia,155,20751,2025-09-16 18:10:22.250656,87,1810836.54,20814.21,16140.53,7935,91.21,20751.0,1,1.0,0.5612903225806452,20814.213103448277
C10038,20,Medium,Medium,Intermediate,2020-07-08,USA,1897,11576,2025-09-16 18:10:22.251647,98,1967258.35,20074.06,15988.92,9328,95.18,70425.0,16,0.5,0.05166051660516605,20074.06479591837
C10039,37,Low,Low,Beginner,2020-08-09,Canada,1865,24556,2025-09-16 18:10:22.251647,106,2032802.68,19177.38,15523.93,9649,91.03,46643.0,7,0.43,0.056836461126005364,19177.383773584905
C10040,18,Medium,High,Intermediate,2025-12-11,Canada,-85,23849,2025-09-16 18:10:22.252645,95,2081840.68,21914.11,16871.94,9684,101.94,23849.0,1,1.0,95.0,21914.112421052632
C10041,57,High,Very High,Advanced,2021-03-17,UK,1645,20278,2025-09-16 18:10:22.253679,96,1944871.98,20259.08,16462.79,9467,98.61,73316.0,14,0.57,0.05835866261398176,20259.083125
C10042,70,High,Very High,Beginner,2025-11-24,UK,-68,29292,2025-09-16 18:10:22.254674,99,1984460.88,20045.06,14377.54,9649,97.46,29292.0,1,1.0,99.0,20045.05939393939
C10043,20,Medium,Very High,Advanced,2023-04-13,Germany,888,10528,2025-09-16 18:10:22.255670,110,2366114.41,21510.13,17989.71,10404,94.58,37610.0,7,1.0,0.12387387387387387,21510.131
C10044,64,High,Very High,Intermediate,2020-08-23,Japan,1851,39757,2025-09-16 18:10:22.255670,98,2083856.34,21263.84,16668.89,10013,102.17,68129.0,12,0.42,0.05294435440302539,21263.840204081633
C10045,70,High,Very High,Beginner,2020-06-03,USA,1932,30843,2025-09-16 18:10:22.256670,86,1860431.36,21632.92,16042.16,8789,102.2,60118.0,10,0.3,0.044513457556935816,21632.922790697674
C10046,27,Low,Very High,Advanced,2022-09-08,Germany,1105,45749,2025-09-16 18:10:22.257666,98,1886498.3,19249.98,14473.73,9296,94.86,46992.0,2,1.0,0.08868778280542987,19249.982653061226
C10047,60,Low,Medium,Beginner,2021-03-09,UK,1653,35398,2025-09-16 18:10:22.258664,94,2197725.45,23380.06,17805.59,9774,103.98,42126.0,3,0.67,0.056866303690260134,23380.057978723406
C10048,39,Medium,Medium,Advanced,2023-03-11,Australia,921,37217,2025-09-16 18:10:22.258664,94,1966195.15,20916.97,13947.57,9711,103.31,51173.0,4,0.5,0.10206297502714441,20916.969680851063
C10049,62,High,High,Intermediate,2020-08-01,Australia,1873,43186,2025-09-16 18:10:22.259660,99,2160738.25,21825.64,17522.04,9220,93.13,55553.0,5,0.4,0.05285638013881474,21825.63888888889
C10050,22,Medium,Very High,Advanced,2021-10-29,Australia,1419,13063,2025-09-16 18:10:22.260649,112,2256221.64,20144.84,16109.64,10425,93.08,58280.0,13,0.46,0.07892882311486962,20144.836071428574
C10051,18,Low,Low,Intermediate,2023-06-23,Japan,817,26144,2025-09-16 18:10:22.261294,99,2029782.2,20502.85,14257.4,9768,98.67,37520.0,6,0.5,0.1211750305997552,20502.850505050505
C10052,52,High,Very High,Intermediate,2020-07-24,UK,1881,32037,2025-09-16 18:10:22.262381,93,2007814.25,21589.4,18036.73,8809,94.72,55139.0,7,0.43,0.049441786283891544,21589.40053763441
C10053,53,Medium,Low,Advanced,2023-10-04,UK,714,17290,2025-09-16 18:10:22.262381,96,1708022.0,17791.9,15965.1,7951,82.82,22481.0,3,0.33,0.13445378151260504,17791.895833333332
C10054,64,Low,Low,Beginner,2023-01-02,Canada,989,38224,2025-09-16 18:10:22.263379,102,2119223.82,20776.7,17317.66,9975,97.79,48107.0,3,0.67,0.10313447927199192,20776.704117647056
C10055,45,Low,Medium,Advanced,2023-06-16,UK,824,6328,2025-09-16 18:10:22.263379,103,2200258.0,21361.73,15715.32,10686,103.75,17647.2,7,0.29,0.125,21361.728155339806
C10056,60,High,Low,Beginner,2025-11-22,USA,-66,37820,2025-09-16 18:10:22.264368,91,2177292.16,23926.29,15606.62,9936,109.19,37820.0,1,1.0,91.0,23926.287472527474
C10057,69,Low,Low,Advanced,2021-06-06,Canada,1564,43691,2025-09-16 18:10:22.264368,98,1940913.0,19805.23,17340.75,8680,88.57,72039.0,8,0.5,0.06265984654731457,19805.23469387755
C10058,36,Low,High,Intermediate,2022-12-19,UK,1003,43535,2025-09-16 18:10:22.265365,95,2170108.73,22843.25,18187.68,10127,106.6,67411.0,6,0.83,0.09471585244267199,22843.249789473684
C10059,58,Medium,High,Advanced,2021-04-27,USA,1604,22423,2025-09-16 18:10:22.266363,98,1759532.36,17954.41,12041.91,9304,94.94,59463.0,8,0.62,0.06109725685785536,17954.411836734696
C10060,35,High,Very High,Beginner,2025-07-21,UK,58,27740,2025-09-16 18:10:22.266363,104,2089510.47,20091.45,17274.2,9710,93.37,27740.0,1,1.0,1.793103448275862,20091.44682692308
C10061,24,Medium,Very High,Advanced,2024-02-05,Australia,590,43776,2025-09-16 18:10:22.266363,72,1485111.15,20626.54,16508.28,6580,91.39,43776.0,1,1.0,0.12203389830508475,20626.543749999997
C10062,28,Medium,Low,Beginner,2025-06-22,Canada,87,9620,2025-09-16 18:10:22.266363,124,2592583.83,20907.93,14780.52,12769,102.98,9620.0,1,1.0,1.4252873563218391,20907.934112903225
C10063,35,Low,Low,Advanced,2023-06-23,Australia,817,31824,2025-09-16 18:10:22.267906,100,2146406.49,21464.06,17188.23,9534,95.34,72313.0,8,0.88,0.12239902080783353,21464.0649
C10064,26,High,Low,Intermediate,2021-12-14,Japan,1373,16803,2025-09-16 18:10:22.268943,105,2262285.11,21545.57,17399.32,10700,101.9,54485.0,11,0.55,0.0764748725418791,21545.572476190475
C10065,49,Medium,Very High,Beginner,2021-08-26,Germany,1483,5163,2025-09-16 18:10:22.268943,114,2491723.75,21857.23,15961.06,11708,102.7,16778.0,4,0.75,0.07687120701281187,21857.22587719298
C10066,57,Low,Low,Advanced,2023-10-18,Germany,700,36829,2025-09-16 18:10:22.269942,101,2339584.51,23164.2,17839.76,10540,104.36,51632.0,5,0.8,0.1442857142857143,23164.20306930693
C10067,66,Medium,Very High,Advanced,2023-05-07,Canada,864,27325,2025-09-16 18:10:22.269942,100,2035332.86,20353.33,13729.51,10351,103.51,40209.0,5,0.2,0.11574074074074074,20353.3286
C10068,49,Low,Very High,Beginner,2022-08-12,Japan,1132,17919,2025-09-16 18:10:22.270938,98,1889172.88,19277.27,15465.56,9402,95.94,68887.0,10,0.7,0.08657243816254417,19277.274285714284
C10069,43,Medium,Low,Advanced,2025-06-30,Germany,79,5000,2025-09-16 18:10:22.270938,118,2448752.35,20752.14,13858.04,12099,102.53,5000.0,1,1.0,1.4936708860759493,20752.138559322033
C10070,58,Low,High,Beginner,2021-06-22,Australia,1548,41271,2025-09-16 18:10:22.271947,99,2003449.46,20236.86,14676.29,9668,97.66,56757.0,8,0.5,0.06395348837209303,20236.86323232323
C10071,31,Low,Low,Advanced,2024-08-16,USA,397,27988,2025-09-16 18:10:22.271947,111,2474791.36,22295.42,16799.95,11319,101.97,47416.0,4,0.75,0.2795969773299748,22295.417657657657
C10072,42,Low,Very High,Beginner,2024-07-24,Canada,420,33005,2025-09-16 18:10:22.272938,107,2296183.11,21459.66,17073.67,10437,97.54,33005.0,1,1.0,0.25476190476190474,21459.65523364486
C10073,63,Medium,High,Beginner,2020-12-27,UK,1725,11719,2025-09-16 18:10:22.272938,101,2460686.91,24363.24,16932.01,10307,102.05,49515.0,13,0.31,0.058550724637681156,24363.236732673267
C10074,18,High,Medium,Beginner,2024-12-13,Australia,278,28239,2025-09-16 18:10:22.273934,109,2195303.15,20140.4,14200.5,11149,102.28,28435.0,2,0.5,0.3920863309352518,20140.39587155963
C10075,65,Low,High,Intermediate,2025-02-25,Germany,204,9353,2025-09-16 18:10:22.274939,97,2269124.31,23393.03,18629.8,9742,100.43,9353.0,1,1.0,0.47549019607843135,23393.034123711343
C10076,50,High,Very High,Intermediate,2022-02-04,Canada,1321,36550,2025-09-16 18:10:22.274939,87,1580741.43,18169.44,14841.9,7745,89.02,57544.0,9,0.22,0.06585919757759273,18169.44172413793
C10077,65,Medium,High,Advanced,2023-08-21,USA,758,24523,2025-09-16 18:10:22.275930,122,2478264.12,20313.64,15334.74,11973,98.14,41283.0,5,0.8,0.16094986807387862,20313.640327868852
C10078,67,Low,Very High,Intermediate,2020-08-17,Japan,1857,9462,2025-09-16 18:10:22.275930,103,2143945.37,20815.0,14068.72,10357,100.55,69490.0,16,0.56,0.05546580506192784,20815.00359223301
C10079,66,Low,High,Intermediate,2025-05-04,Japan,136,30454,2025-09-16 18:10:22.276931,104,2339427.13,22494.49,16582.3,11425,109.86,40991.0,4,0.25,0.7647058823529411,22494.491634615384
C10080,34,Low,Low,Beginner,2024-03-08,Australia,558,14346,2025-09-16 18:10:22.277902,101,2387045.93,23634.12,19879.62,10190,100.89,14346.0,1,1.0,0.18100358422939067,23634.118118811883
C10081,30,Low,Very High,Beginner,2025-02-24,Australia,205,40874,2025-09-16 18:10:22.277902,90,1697129.07,18856.99,14387.55,8663,96.26,40874.0,1,1.0,0.43902439024390244,18856.98966666667
C10082,36,High,Medium,Beginner,2022-06-18,Canada,1187,49620,2025-09-16 18:10:22.278977,89,1981753.82,22266.9,18074.96,9370,105.28,80795.0,10,0.6,0.07497893850042123,22266.896853932583
C10083,57,High,High,Beginner,2024-02-12,Japan,583,22522,2025-09-16 18:10:22.279974,87,1609377.55,18498.59,15709.92,7497,86.17,39584.0,4,0.5,0.14922813036020582,18498.592528735633
C10084,62,Medium,Low,Intermediate,2022-12-18,Germany,1004,43425,2025-09-16 18:10:22.279974,110,2179995.59,19818.14,17082.53,10179,92.54,100273.0,13,0.54,0.10956175298804781,19818.141727272727
C10085,27,Medium,Low,Beginner,2021-05-30,Australia,1571,26284,2025-09-16 18:10:22.280971,107,2557853.71,23905.17,18211.18,10517,98.29,45160.0,6,0.17,0.06810948440483769,23905.174859813083
C10086,38,Low,High,Intermediate,2023-04-10,Canada,891,23943,2025-09-16 18:10:22.280971,95,1970884.64,20746.15,17554.87,8680,91.37,25587.0,2,0.5,0.10662177328843996,20746.15410526316
C10087,27,Low,Low,Beginner,2025-05-31,USA,109,11005,2025-09-16 18:10:22.281968,123,2411335.83,19604.36,16230.47,11970,97.32,11005.0,1,1.0,1.128440366972477,19604.356341463415
C10088,54,Low,Very High,Intermediate,2025-04-27,UK,143,43763,2025-09-16 18:10:22.281968,114,2293805.77,20121.1,16487.03,11304,99.16,43763.0,1,1.0,0.7972027972027972,20121.103245614035
C10089,58,Low,Medium,Beginner,2023-01-30,UK,961,19166,2025-09-16 18:10:22.282966,89,1627858.6,18290.55,13184.94,8333,93.63,46304.0,7,0.71,0.09261186264308012,18290.546067415733
C10090,57,Medium,Medium,Advanced,2022-06-22,UK,1183,6889,2025-09-16 18:10:22.282966,107,2309422.7,21583.39,18866.09,9608,89.79,38622.0,9,0.56,0.0904480135249366,21583.38971962617
C10091,68,Low,Medium,Beginner,2024-05-16,Japan,489,34248,2025-09-16 18:10:22.283963,98,2356619.67,24047.14,17695.86,10838,110.59,45998.0,3,0.67,0.20040899795501022,24047.139489795918
C10092,39,Low,High,Intermediate,2024-06-20,Australia,454,47776,2025-09-16 18:10:22.283963,94,1935684.47,20592.39,15013.78,9478,100.83,53137.0,4,0.5,0.20704845814977973,20592.387978723404
C10093,53,High,High,Advanced,2025-08-27,Australia,21,46225,2025-09-16 18:10:22.284960,95,2013337.57,21193.03,16065.84,8726,91.85,46225.0,1,1.0,4.523809523809524,21193.02705263158
C10094,60,High,High,Intermediate,2021-12-08,Japan,1379,43131,2025-09-16 18:10:22.284960,99,2374932.66,23989.22,18989.27,10502,106.08,49066.0,3,0.67,0.07179115300942712,23989.218787878788
C10095,41,Medium,Low,Beginner,2023-05-19,Australia,852,13859,2025-09-16 18:10:22.285959,93,1960717.28,21082.98,16055.31,9133,98.2,67779.0,11,0.73,0.10915492957746478,21082.981505376345
C10096,48,Low,Medium,Intermediate,2023-10-14,Australia,704,24062,2025-09-16 18:10:22.286954,93,2087825.16,22449.73,16352.4,9594,103.16,27611.0,2,0.5,0.13210227272727273,22449.732903225806
C10097,22,High,Very High,Advanced,2023-10-22,Japan,696,37841,2025-09-16 18:10:22.286954,93,1793445.7,19284.36,13713.72,9142,98.3,37841.0,1,1.0,0.1336206896551724,19284.362365591398
C10098,24,Low,Medium,Advanced,2020-02-16,UK,2040,29051,2025-09-16 18:10:22.286954,104,2035846.42,19575.45,16250.62,9897,95.16,92426.0,17,0.41,0.050980392156862744,19575.446346153847
C10099,27,Medium,Low,Advanced,2020-10-07,Canada,1806,35420,2025-09-16 18:10:22.287952,105,2394288.25,22802.75,18115.66,10866,103.49,69369.0,11,0.36,0.05813953488372093,22802.745238095238
C10100,68,High,Very High,Intermediate,2024-06-30,Australia,444,24370,2025-09-16 18:10:22.288961,113,2214614.65,19598.36,13779.74,10532,93.2,24370.0,1,1.0,0.2545045045045045,19598.359734513273
C10101,68,Medium,High,Beginner,2022-05-29,UK,1207,5985,2025-09-16 18:10:22.288961,99,1857035.9,18757.94,15187.44,8728,88.16,5985.0,1,1.0,0.0820215410107705,18757.938383838384
C10102,42,Low,High,Advanced,2022-01-25,Canada,1331,7734,2025-09-16 18:10:22.289952,86,1875403.8,21807.02,14726.03,9306,108.21,14503.0,3,0.33,0.06461307287753569,21807.02093023256
C10103,61,High,Very High,Advanced,2024-06-26,Germany,448,39025,2025-09-16 18:10:22.289952,112,2383737.38,21283.37,17111.71,11113,99.22,58016.0,5,0.4,0.25,21283.36946428571
C10104,25,Medium,High,Beginner,2025-11-08,USA,-52,26481,2025-09-16 18:10:22.290950,93,2038997.72,21924.71,15839.24,9472,101.85,26481.0,1,1.0,93.0,21924.706666666665
C10105,59,Low,Very High,Intermediate,2023-12-16,Japan,641,25318,2025-09-16 18:10:22.290950,112,2795773.34,24962.26,17902.71,12136,108.36,31233.0,3,0.33,0.1747269890795632,24962.261964285713
C10106,26,Low,Very High,Advanced,2020-11-29,UK,1753,34514,2025-09-16 18:10:22.291947,79,1743157.11,22065.28,14243.49,8551,108.24,90796.0,14,0.64,0.0450656018254421,22065.279873417723
C10107,26,High,Medium,Advanced,2020-05-01,Canada,1965,37827,2025-09-16 18:10:22.291947,110,2196172.41,19965.2,14901.25,10464,95.13,74211.0,11,0.45,0.05597964376590331,19965.20372727273
C10108,20,Medium,Low,Beginner,2024-10-24,Germany,328,24161,2025-09-16 18:10:22.292944,119,2457694.86,20652.9,15166.08,11892,99.93,25927.0,2,1.0,0.3628048780487805,20652.897983193277
C10109,29,Low,Low,Advanced,2020-11-14,UK,1768,8899,2025-09-16 18:10:22.294464,81,1751260.57,21620.5,16237.34,8227,101.57,66799.0,19,0.47,0.04581447963800905,21620.500864197533
C10110,31,Low,Medium,Advanced,2023-06-28,Germany,812,13847,2025-09-16 18:10:22.294464,95,2292384.87,24130.37,18110.58,10468,110.19,29955.0,5,0.6,0.11699507389162561,24130.36705263158
C10111,39,Medium,Medium,Intermediate,2020-07-11,USA,1894,30624,2025-09-16 18:10:22.295506,96,1638044.11,17062.96,12699.03,8736,91.0,56111.0,7,0.57,0.050686378035902854,17062.959479166668
C10112,56,Medium,Medium,Beginner,2025-10-20,Australia,-33,20724,2025-09-16 18:10:22.295506,104,2221719.77,21362.69,15408.59,10406,100.06,20724.0,1,1.0,104.0,21362.690096153845
C10113,24,Low,Very High,Beginner,2021-09-16,Japan,1462,43653,2025-09-16 18:10:22.296502,99,2143777.44,21654.32,16398.62,10117,102.19,59266.0,3,1.0,0.0677154582763338,21654.317575757574
C10114,60,Low,Very High,Advanced,2024-12-27,Germany,264,13381,2025-09-16 18:10:22.296502,118,2663529.59,22572.28,15970.13,12942,109.68,36051.0,6,0.33,0.44696969696969696,22572.284661016947
C10115,34,Low,High,Beginner,2025-09-02,Japan,15,38745,2025-09-16 18:10:22.297500,85,1743812.84,20515.45,16264.66,8742,102.85,38745.0,1,1.0,5.666666666666667,20515.44517647059
C10116,50,Low,Medium,Beginner,2024-07-26,Germany,418,48800,2025-09-16 18:10:22.298497,102,1855702.79,18193.16,12759.9,9643,94.54,48800.0,1,1.0,0.24401913875598086,18193.164607843137
C10117,57,High,Low,Beginner,2025-11-03,Canada,-47,25292,2025-09-16 18:10:22.298497,113,2452485.22,21703.41,16936.94,11729,103.8,25292.0,1,1.0,113.0,21703.409026548674
C10118,53,Medium,High,Beginner,2023-10-20,UK,698,41019,2025-09-16 18:10:22.299494,99,1812194.03,18304.99,15926.16,8560,86.46,41019.0,1,1.0,0.14183381088825214,18304.990202020203
C10119,36,Low,High,Intermediate,2022-02-11,UK,1314,41025,2025-09-16 18:10:22.299494,119,2492553.99,20945.83,15314.54,12223,102.71,94797.0,12,0.67,0.09056316590563165,20945.831848739497
C10120,20,Low,Medium,Intermediate,2024-09-07,Australia,375,46088,2025-09-16 18:10:22.300492,97,2300270.32,23714.13,17925.6,10415,107.37,48870.0,3,0.67,0.25866666666666666,23714.127010309276
C10121,55,High,Medium,Beginner,2022-10-16,Germany,1067,40548,2025-09-16 18:10:22.300492,81,1768255.43,21830.31,16916.16,7469,92.21,61004.0,8,0.5,0.07591377694470477,21830.313950617285
C10122,34,Medium,High,Beginner,2020-12-23,USA,1729,36626,2025-09-16 18:10:22.301489,90,1964662.82,21829.59,15936.83,8828,98.09,96236.0,18,0.33,0.05205320994794679,21829.58688888889
C10123,51,Medium,Medium,Advanced,2023-09-27,Australia,721,12356,2025-09-16 18:10:22.301489,108,2041106.49,18899.13,15202.99,10503,97.25,19705.0,5,0.8,0.14979195561719832,18899.134166666667
C10124,42,Low,High,Intermediate,2025-09-09,Japan,8,28818,2025-09-16 18:10:22.302486,112,2510639.66,22416.43,14639.3,11782,105.2,28818.0,1,1.0,14.0,22416.425535714287
C10125,25,Medium,Low,Intermediate,2022-11-21,UK,1031,22807,2025-09-16 18:10:22.302486,94,1965917.84,20914.02,15841.62,9708,103.28,42686.0,7,0.71,0.09117361784675072,20914.019574468086
C10126,20,Medium,High,Intermediate,2025-07-06,USA,73,11424,2025-09-16 18:10:22.303483,115,2135725.54,18571.53,15121.73,10670,92.78,11424.0,1,1.0,1.5753424657534247,18571.52643478261
C10127,48,Medium,Medium,Intermediate,2020-06-10,USA,1925,20158,2025-09-16 18:10:22.303483,86,1779228.32,20688.7,16614.59,8252,95.95,30994.0,3,0.67,0.044675324675324674,20688.70139534884
C10128,34,High,High,Intermediate,2020-11-01,Australia,1781,47539,2025-09-16 18:10:22.304481,98,1867613.23,19057.28,12643.22,9556,97.51,47539.0,1,1.0,0.055025266704098824,19057.277857142857
C10129,45,High,Low,Intermediate,2021-06-18,Germany,1552,19774,2025-09-16 18:10:22.304481,97,2183500.9,22510.32,15577.75,10412,107.34,97876.0,15,0.73,0.0625,22510.31855670103
C10130,64,Medium,Low,Intermediate,2022-03-14,Canada,1283,27765,2025-09-16 18:10:22.305479,80,1351359.63,16892.0,14063.09,6501,81.26,27765.0,1,1.0,0.06235385814497272,16891.995375
C10131,57,High,Low,Advanced,2023-09-08,Japan,740,12106,2025-09-16 18:10:22.305479,89,1776520.08,19960.9,16141.6,8476,95.24,12106.0,1,1.0,0.12027027027027028,19960.8997752809
C10132,38,Medium,Very High,Advanced,2021-09-10,USA,1468,15267,2025-09-16 18:10:22.306476,92,2078195.36,22589.08,15868.7,9878,107.37,59144.0,13,0.62,0.06267029972752043,22589.08
C10133,59,Low,Very High,Beginner,2020-01-23,Japan,2064,6426,2025-09-16 18:10:22.306476,110,2297439.33,20885.81,13765.23,11143,101.3,81560.0,19,0.42,0.05329457364341085,20885.81209090909
